name,c360API_attribute,bq_view_name,bq_column_name,bq_column_data_type,is_available_in_c360API
account_explicit_diet_preferences,customer_diet_preference.account_explicit_diet_preferences,C360_CUSTOMER_DIET_PREFERENCE,combined,ArrayType,false
account_explicit_diet_restrictions,customer_diet_preference.account_explicit_diet_restrictions,C360_CUSTOMER_DIET_PREFERENCE,combined,Array,false
account_explicit_diet_nutritions,customer_diet_preference.account_explicit_diet_nutritions,C360_CUSTOMER_DIET_PREFERENCE,combined,Array,false
account_explicit_diet_dislikes,customer_diet_preference.account_explicit_diet_dislikes,C360_CUSTOMER_DIET_PREFERENCE,combined,Array,false
autocashstatus_ind,customer_rewards.auto_cash_status_ind,C360_CUSTOMER_PROFILE,auto_cash_status_ind,BooleanType,true
currentpointbalance,customer_rewards.current_point_balance,C360_CUSTOMER_PROFILE,current_point_balance,NumericType,true
autocashlasttoggledt,customer_rewards.auto_cash_last_toggle_dt,C360_CUSTOMER_PROFILE,auto_cash_last_toggle_dt,DateType,true
autocashcashoffearnedsince_optin,customer_rewards.auto_cash_cashoff_earned_since_optin,C360_CUSTOMER_PROFILE,auto_cash_cashoff_earned_since_optin,NumericType,true
autocashanyclipind,customer_rewards.auto_cash_any_clip_ind,C360_CUSTOMER_PROFILE,auto_cash_any_clip_ind,BooleanType,true
lifetimesavingsamt,customer_rewards.lifetime_savings_amt,C360_CUSTOMER_PROFILE,lifetime_savings_amt,NumericType,true
pointsexpiringnext_month,customer_rewards.points_expiring_next_month,C360_CUSTOMER_PROFILE,points_expiring_next_month,NumericType,true
student_ind,customer_sheer_id_identification.student_ind,C360_CUSTOMER_PROFILE,student_ind,BooleanType,true
snap_ind,customer_sheer_id_identification.snap_ind,C360_CUSTOMER_PROFILE,snap_ind,BooleanType,true
snapexpirets,customer_sheer_id_identification.snap_expire_ts,C360_CUSTOMER_PROFILE,snap_expire_ts,TimestampType,true
snaptxnind,customer_sheer_id_identification.snap_txn_ind,C360_CUSTOMER_PROFILE,snap_txn_ind_6m,BooleanType,true
military_type,customer_sheer_id_identification.military_type,C360_CUSTOMER_PROFILE,military_type,StringType,true
firstresponder_ind,customer_sheer_id_identification.firstresponder_ind,C360_CUSTOMER_PROFILE,firstresponder_ind,BooleanType,true
senior_ind,customer_sheer_id_identification.senior_ind,C360_CUSTOMER_PROFILE,senior_ind,BooleanType,true
medical_ind,customer_sheer_id_identification.medical_ind,C360_CUSTOMER_PROFILE,medical_ind,BooleanType,true
weeklyfactsegment_dsc,customer_symphony_segment.weekly_fact_segment_dsc,C360_CUSTOMER_SEGMENTS,weekly_fact_segment_dsc,StringType,true
shopstylessegmentdsc,customer_symphony_segment.shopstyles_segment_dsc,C360_CUSTOMER_SEGMENTS,shopstyles_segment_dsc,StringType,true
truepricesegmentperioddsc,customer_symphony_segment.true_price_segment_period_dsc,C360_CUSTOMER_SEGMENTS,true_price_segment_period_dsc,StringType,true
myneedsegmentdsc,customer_symphony_segment.myneed_segment_dsc,C360_CUSTOMER_SEGMENTS,myneed_segment_dsc,StringType,true
model_attribute,data_science_model.model_attribute,DATA_SCIENCE_PROFILE_ATTRIBUTES,model_attribute,StringType,true
model_value_boolean,data_science_model.model_value_boolean,DS_MODEL_Profile,model_value_boolean,,true
added_timestamp,data_science_model.added_timestamp,DATA_SCIENCE_PROFILE_ATTRIBUTES,added_timestamp,TimestampType,true
model_value_integer,data_science_model.model_value_integer,DS_MODEL_Profile,model_value_integer,IntegerType,true
model_value_float,data_science_model.model_value_float,DATA_SCIENCE_PROFILE_ATTRIBUTES,model_value_float,NumericType,true
model_value_string,data_science_model.model_value_string,DATA_SCIENCE_PROFILE_ATTRIBUTES,model_value_string,StringType,true
laststorevisit_dt,customer_transaction_dates.last_store_visit_dt,C360_Customer_Last_Event,last_store_visit_dt,DateType,true
lastwebvisit_dt,customer_transaction_dates.last_web_visit_dt,C360_Customer_Last_Event,last_web_visit_dt,DateType,true
